VEGFA,Receptor tyrosine kinase
CRK,Innate immune pathways
CRKL,Innate immune pathways
GRB2,Innate immune pathways
SHC1,Innate immune pathways
PDGFB,Receptor tyrosine kinase
SYK,TGF
VEGFB,Receptor tyrosine kinase
ITGAV,Receptor tyrosine kinase
KDR,Receptor tyrosine kinase
CD40LG,Innate immune pathways
LCK,Innate immune pathways
TUBGCP2,Innate immune pathways
TUBGCP3,Innate immune pathways
ITGB1,Innate immune pathways
TUBGCP5,Innate immune pathways
ACTR2,TGF
ACTR3,TGF
ARPC2,TGF
ARPC3,TGF
MYH9,TGF
ICAM1,TGF
TUBGCP6,TGF
CD2,TGF
ARPC4,TGF
TUBGCP3,TGF
MLST8,Receptor tyrosine kinase
MTOR,Receptor tyrosine kinase
TUBGCP6,Receptor tyrosine kinase
RPTOR,Receptor tyrosine kinase
BCL10,Innate immune pathways
FLNA,JAK/STAT
BCL10,JAK/STAT
CD247,T-cell receptor
ARPC3,Receptor tyrosine kinase
CARD11,Receptor tyrosine kinase
TSC2,Receptor tyrosine kinase
PXN,Innate immune pathways
VAV1,Innate immune pathways
PLCG1,JAK/STAT
SNAP23,Innate immune pathways
STXBP2,Innate immune pathways
PTPN11,JAK/STAT
LAT,JAK/STAT
PSTPIP1,Innate immune pathways
UNC13D,JAK/STAT
CRTAM,JAK/STAT
STAT1,Toll-like receptor
PTPN6,JAK/STAT
HAVCR2,JAK/STAT
FYN,JAK/STAT
MAPKAP1,JAK/STAT
CD48,Receptor tyrosine kinase
RICTOR,Receptor tyrosine kinase
MIF,Receptor tyrosine kinase
IL1R1,Receptor tyrosine kinase
TAB2,Innate immune pathways
MAP3K7,Innate immune pathways
YAP1,TGF
GNAS,Innate immune pathways
FADD,Innate immune pathways
RIPK1,Innate immune pathways
SMAD4,Innate immune pathways
TRAF2,Receptor tyrosine kinase
TNF,Innate immune pathways
JAK1,JAK/STAT
PLAU,JAK/STAT
SMAD2,JAK/STAT
IRAK4,Toll-like receptor
RBCK1,Toll-like receptor
MYD88,Toll-like receptor
RNF31,JAK/STAT
SMAD3,JAK/STAT
RBCK1,Receptor tyrosine kinase
LIF,JAK/STAT
TGFBR2,Receptor tyrosine kinase
IFNGR1,JAK/STAT
IFNG,JAK/STAT
JAK2,Innate immune pathways
CXCL12,Innate immune pathways
PTP4A3,Innate immune pathways
LIN7C,Innate immune pathways
CYBA,JAK/STAT
UBE2D1,JAK/STAT
DTX1,Notch
TYK2,JAK/STAT
ZEB1,Innate immune pathways
SMAD3,Innate immune pathways
SMAD2,Notch
SMAD3,Notch
NOTCH1,Notch
TGFB1,Receptor tyrosine kinase
JAG1,Notch
BCL2,Receptor tyrosine kinase
RAF1,Innate immune pathways
IGF2R,Receptor tyrosine kinase
SMAD4,Receptor tyrosine kinase
ITGA4,Innate immune pathways
ARHGAP35,Innate immune pathways
HRAS,Innate immune pathways
AXIN1,Receptor tyrosine kinase
SMURF1,TGF
APC,Notch
TGFBR1,Receptor tyrosine kinase
HDAC2,Receptor tyrosine kinase
SNAI1,Receptor tyrosine kinase
HDAC1,Receptor tyrosine kinase
TWIST1,Receptor tyrosine kinase
KIT,JAK/STAT
SNAI2,JAK/STAT
ADAM10,JAK/STAT
SMAD4,JAK/STAT
HDAC1,JAK/STAT
HDAC3,JAK/STAT
TIMP1,JAK/STAT
TERF1,JAK/STAT
TINF2,JAK/STAT
RAP1A,Innate immune pathways
HDAC1,Innate immune pathways
POT1,Innate immune pathways
TINF2,Innate immune pathways
MYC,Receptor tyrosine kinase
CXCL8,Toll-like receptor
NOP10,Toll-like receptor
TERF1,Toll-like receptor
PTGES3,Toll-like receptor
NHP2,Toll-like receptor
TEN1,Toll-like receptor
JUN,Receptor tyrosine kinase
RFC1,Receptor tyrosine kinase
RFC2,Receptor tyrosine kinase
RFC3,Receptor tyrosine kinase
RFC4,Receptor tyrosine kinase
TERF1,Innate immune pathways
DKC1,Innate immune pathways
PRIM2,Innate immune pathways
POLA1,Innate immune pathways
RPA2,Innate immune pathways
RPA3,Innate immune pathways
PCNA,Innate immune pathways
POLD1,Innate immune pathways
POLD4,Innate immune pathways
APC2,Innate immune pathways
BUB1,Innate immune pathways
CDC20,Innate immune pathways
WRN,Innate immune pathways
H2AFX,Innate immune pathways
MRE11,Innate immune pathways
RAD50,Innate immune pathways
ATR,Innate immune pathways
ATRIP,Innate immune pathways
ATM,Innate immune pathways
CHEK1,Innate immune pathways
CLSPN,Innate immune pathways
RAD17,Innate immune pathways
FANCM,Innate immune pathways
BRCA1,Innate immune pathways
BIRC5,Innate immune pathways
AURKB,Innate immune pathways
FANCD2,Innate immune pathways
LIG4,Innate immune pathways
PARP3,Innate immune pathways
BARD1,Innate immune pathways
BRCA2,Innate immune pathways
RAD51,Innate immune pathways
XRCC3,Innate immune pathways
BLM,Innate immune pathways
RAD52,Innate immune pathways
FAAP20,Innate immune pathways
FAAP24,Innate immune pathways
FAAP100,Innate immune pathways
FANCA,Innate immune pathways
FANCC,Innate immune pathways
FANCE,Innate immune pathways
FANCF,Innate immune pathways
FANCG,Innate immune pathways
FANCL,Innate immune pathways
HES1,Notch
FANCM,Notch
FAAP20,Notch
FAAP24,Notch
FANCA,Notch
FANCC,Notch
FANCB,Notch
FANCE,Notch
FANCG,Notch
FANCF,Notch
FANCL,Notch
BRCA1,Notch
BRCA2,Notch
FANCD2,Notch
FAAP100,Notch
H2AFX,Notch
PCNA,Notch
FANCI,Notch
BLM,Notch
MRE11,Notch
PARP1,Notch
E2F1,Notch
RAD50,Notch
CUL1,Hedgehog
RBX1,Hedgehog
BRCA1,Hedgehog
PARP1,Hedgehog
CDK1,Hedgehog
CDT1,Hedgehog
CDC45,Hedgehog
CDC6,Hedgehog
SKP1,Hedgehog
MCM2,Hedgehog
MCM3,Hedgehog
MCM4,Hedgehog
MCM7,Hedgehog
MCM6,Hedgehog
ORC1,Hedgehog
ORC2,Hedgehog
ORC3,Hedgehog
ORC4,Hedgehog
ORC5,Hedgehog
ORC6,Hedgehog
DBF4,Hedgehog
EME1,Hedgehog
STAT3,Innate immune pathways
CDK7,Innate immune pathways
ERCC1,Innate immune pathways
MNAT1,Innate immune pathways
POLE,Innate immune pathways
XRCC1,Innate immune pathways
EME1,Innate immune pathways
MSH2,Hedgehog
ERCC1,Hedgehog
SLX4,Hedgehog
MNAT1,Hedgehog
MLH1,Hedgehog
RPA2,Hedgehog
PCNA,Hedgehog
FANCI,Hedgehog
FANCD2,Hedgehog
GINS4,Hedgehog
GINS1,Hedgehog
XPA,Hedgehog
RAD17,Hedgehog
HUS1,Hedgehog
RAD1,Hedgehog
MDC1,Hedgehog
POLB,Hedgehog
PARP2,Hedgehog
WRN,Hedgehog
XRCC1,Hedgehog
REV1,Hedgehog
POLK,Hedgehog
POLH,Hedgehog
TDG,Hedgehog
RPA2,Receptor tyrosine kinase
BCL2L11,Receptor tyrosine kinase
PPP3CB,Receptor tyrosine kinase
MT-ND1,Receptor tyrosine kinase
MT-ND2,Receptor tyrosine kinase
MT-ND3,Receptor tyrosine kinase
MT-ND4,Receptor tyrosine kinase
MT-ND4L,Receptor tyrosine kinase
MT-ND5,Receptor tyrosine kinase
MT-ND6,Receptor tyrosine kinase
NDUFA1,Receptor tyrosine kinase
NDUFA10,Receptor tyrosine kinase
NDUFA11,Receptor tyrosine kinase
NDUFA12,Receptor tyrosine kinase
NDUFA13,Receptor tyrosine kinase
NDUFA2,Receptor tyrosine kinase
NDUFA3,Receptor tyrosine kinase
NDUFA4,Receptor tyrosine kinase
NDUFA5,Receptor tyrosine kinase
NDUFA6,Receptor tyrosine kinase
NDUFA7,Receptor tyrosine kinase
NDUFA8,Receptor tyrosine kinase
NDUFA9,Receptor tyrosine kinase
NDUFAB1,Receptor tyrosine kinase
NDUFB1,Receptor tyrosine kinase
NDUFB10,Receptor tyrosine kinase
NDUFB11,Receptor tyrosine kinase
NDUFB2,Receptor tyrosine kinase
NDUFB3,Receptor tyrosine kinase
NDUFB4,Receptor tyrosine kinase
NDUFB5,Receptor tyrosine kinase
NDUFB6,Receptor tyrosine kinase
NDUFB7,Receptor tyrosine kinase
NDUFB8,Receptor tyrosine kinase
NDUFB9,Receptor tyrosine kinase
NDUFC1,Receptor tyrosine kinase
NDUFS1,Receptor tyrosine kinase
NDUFS2,Receptor tyrosine kinase
NDUFS3,Receptor tyrosine kinase
NDUFS4,Receptor tyrosine kinase
NDUFS5,Receptor tyrosine kinase
NDUFS6,Receptor tyrosine kinase
NDUFS7,Receptor tyrosine kinase
NDUFS8,Receptor tyrosine kinase
NDUFV1,Receptor tyrosine kinase
NDUFV2,Receptor tyrosine kinase
NDUFV3,Receptor tyrosine kinase
DLD,Receptor tyrosine kinase
SDHC,Receptor tyrosine kinase
MT-CYB,Receptor tyrosine kinase
UQCRB,Receptor tyrosine kinase
SDHA,Receptor tyrosine kinase
UQCRC1,Receptor tyrosine kinase
UQCRFS1,Receptor tyrosine kinase
UQCRC2,Receptor tyrosine kinase
BAD,Receptor tyrosine kinase
UQCRH,Receptor tyrosine kinase
UQCRQ,Receptor tyrosine kinase
MT-ATP6,Receptor tyrosine kinase
DMAC2L,Receptor tyrosine kinase
BAK1,Receptor tyrosine kinase
ECSIT,Receptor tyrosine kinase
STK11,Receptor tyrosine kinase
CAB39,Receptor tyrosine kinase
SNAP23,Receptor tyrosine kinase
NDUFAF1,Receptor tyrosine kinase
RACK1,Receptor tyrosine kinase
RACK1,Hedgehog
UQCRFS1,Hedgehog
CUL2,Hedgehog
KLF8,Hedgehog
CUL3,Hedgehog
FOXO1,Receptor tyrosine kinase
PDPR,Hedgehog
MCL1,Hedgehog
BBC3,Hedgehog
PPARGC1A,Receptor tyrosine kinase
MCL1,Receptor tyrosine kinase
BCL2L11,Hedgehog
RRM2,Hedgehog
HIP1,Receptor tyrosine kinase
XIAP,Receptor tyrosine kinase
BIRC5,Receptor tyrosine kinase
UVRAG,Receptor tyrosine kinase
RHEB,Receptor tyrosine kinase
SMARCA5,Receptor tyrosine kinase
MLX,Receptor tyrosine kinase
BARD1,Receptor tyrosine kinase
DDB1,Receptor tyrosine kinase
GLUD1,Receptor tyrosine kinase
GLUL,Receptor tyrosine kinase
MLKL,Receptor tyrosine kinase
BRCA1,Receptor tyrosine kinase
RIPK3,JAK/STAT
PYGL,Innate immune pathways
DAXX,Receptor tyrosine kinase
FASLG,Innate immune pathways
FAS,Innate immune pathways
NTN1,Innate immune pathways
DAPK1,Innate immune pathways
COX5A,Innate immune pathways
